时间量(s),阀门开度(%),海拔(m),坡度(‰),速度v（km/h）,隧道长度(m),每1s,每3s
13.17224,100,209,0,400,5000,0.00319,0.00557
13.18234,100,209,0,400,5000,0.00322,0.00557
13.19561,100,209,0,400,5000,0.00327,0.00557
13.19894,100,209,0,405,5000,0.00327,0.00557
13.20331,100,209,0,406,5000,0.00327,0.00557
13.20904,100,209,0,397,5000,0.00324,0.00557
13.2156,100,209,0,408,5000,0.00321,0.00557
13.2201,100,209,0,400,5000,0.00321,0.00557
13.2311,100,209,0,400,5000,0.00321,0.00557
13.24483,100,209,0,400,5000,0.00321,0.00557
13.24947,100,209,0,400,5000,0.00321,0.00557
13.25557,100,209,0,400,5000,0.00321,0.00557
13.26165,100,209,0,399,5000,0.00318,0.00557
13.27157,100,209,0,400,5000,0.00318,0.00557
13.28459,100,209,0,401,5000,0.0032,0.00557
13.2876,100,209,0,402,5000,0.00318,0.00557
13.29155,100,209,0,403,5000,0.00316,0.00557
13.29674,100,209,0,400,5000,0.00315,0.00557
13.30355,100,209,0,400,5000,0.00312,0.00557
13.30869,100,209,0,400,5000,0.00312,0.00557
13.31926,100,209,0,400,5000,0.00305,0.00557
13.33313,100,209,0,400,5000,0.00295,0.00557
13.33724,100,209,0,400,5000,0.00293,0.00557
13.34265,100,209,0,395,5000,0.0029,0.00557
13.34963,100,209,0,385,5000,0.0029,0.00557
13.35444,100,209,0,386,5000,0.00285,0.00557
13.36523,100,209,0,387,5000,0.00276,0.00557
13.37923,100,209,0,388,5000,0.00276,0.00557
13.38369,100,209,0,400,5000,0.00276,0.00557
13.38954,100,209,0,400,5000,0.00274,0.00557
13.39594,100,209,0,400,5000,0.00274,0.00557
13.40034,100,209,0,400,5000,0.00272,0.00557
13.41141,100,209,0,400,5000,0.00268,0.00557
13.42504,100,209,0,400,5000,0.00262,0.00557
13.42975,100,209,0,400,5000,0.00262,0.00557
13.43594,100,209,0,400,5000,0.00259,0.00557
13.4419,100,209,0,400,5000,0.00256,0.00557
13.4519,100,209,0,404,5000,0.00256,0.00557
13.46503,100,209,0,400,5000,0.00256,0.00557
13.46817,100,209,0,400,5000,0.00256,0.00557
13.4723,100,209,0,400,5000,0.00255,0.00557
13.47773,100,209,0,400,5000,0.00252,0.00557
13.48469,100,209,0,400,5000,0.00247,0.00557
13.48948,100,209,0,400,5000,0.00243,0.00557
13.50028,100,209,0,400,5000,0.00235,0.00557
13.51426,100,209,0,400,5000,0.00232,0.00557
13.51873,100,209,0,400,5000,0.00232,0.00557
13.5246,100,209,0,400,5000,0.00227,0.00557
13.53098,100,209,0,400,5000,0.00224,0.00557
13.53536,100,209,0,401,5000,0.0022,0.00557
13.54645,100,209,0,400,5000,0.00211,0.00557
13.56006,100,209,0,400,5000,0.00202,0.00557
13.56479,100,209,0,400,5000,0.00198,0.00557
13.57099,100,209,0,400,5000,0.00205,0.00557
13.57693,100,209,0,400,5000,0.00205,0.00557
13.58694,100,209,0,404,5000,0.00202,0.00557
13.60008,100,209,0,400,5000,0.00208,0.00557
13.60324,100,209,0,400,5000,0.00207,0.00557
13.60739,100,209,0,401,5000,0.00207,0.00557
13.61285,100,209,0,400,5000,0.00205,0.00557
13.61977,100,209,0,400,5000,0.00199,0.00557
13.62453,100,209,0,400,5000,0.00194,0.00557
13.63535,100,209,0,399,5000,0.00186,0.00557
13.64931,100,209,0,400,5000,0.00179,0.00557
13.6538,100,209,0,400,5000,0.0018,0.00557
13.65969,100,209,0,385,5000,0.0018,0.00557
13.66604,100,209,0,400,5000,0.00178,0.00557
13.6704,100,209,0,400,5000,0.00181,0.00557
13.6815,100,209,0,375,5000,0.00175,0.00557
13.6951,100,209,0,376,5000,0.00172,0.00557
13.69983,100,209,0,377,5000,0.00168,0.00557
13.70605,100,209,0,400,5000,0.00169,0.00557
13.71197,100,209,0,400,5000,0.00166,0.00557
13.72199,100,209,0,396,5000,0.00162,0.00557
13.73516,100,209,0,397,5000,0.0015,0.00557
13.73834,100,209,0,398,5000,0.0015,0.00557
13.74252,100,209,0,400,5000,0.00149,0.00557
13.74801,100,209,0,400,5000,0.00143,0.00557
13.75489,100,209,0,400,5000,0.0014,0.00557
13.75961,100,209,0,400,5000,0.00139,0.00557
13.77046,100,209,0,400,5000,0.00129,0.00557
13.78438,100,209,0,400,5000,0.00119,0.00557
13.78889,100,209,0,400,5000,0.00119,0.00557
13.79481,100,209,0,400,5000,0.00115,0.00557
13.80112,100,209,0,400,5000,0.00111,0.00557
13.80546,100,209,0,400,5000,0.00107,0.00557
13.81658,100,209,0,400,5000,0.00104,0.00557
13.83015,100,209,0,400,5000,9.6E-4,0.00557
13.8349,100,209,0,400,5000,9.2E-4,0.00557
13.84114,100,209,0,400,5000,9E-4,0.00557
13.84704,100,209,0,400,5000,8.6E-4,0.00557
13.85708,100,209,0,400,5000,8.1E-4,0.00557
13.87027,100,209,0,400,5000,9.6E-4,0.00557
13.87348,100,209,0,400,5000,9.6E-4,0.00557
13.87771,100,209,0,400,5000,9.9E-4,0.00557
13.88326,100,209,0,400,5000,0.00102,0.00557
13.89006,100,209,0,400,5000,0.0011,0.00557
13.89473,100,209,0,400,5000,0.0011,0.00557
13.90561,100,209,0,400,5000,0.00118,0.00557
13.91949,100,209,0,400,5000,0.00141,0.00557
13.92403,100,209,0,400,5000,0.00147,0.00557
13.93,100,209,0,400,5000,0.00155,0.00557
13.93625,100,209,0,400,5000,0.00155,0.00557
13.94055,100,209,0,400,5000,0.00163,0.00557
13.95169,100,209,0,400,5000,0.00173,0.00557
13.96523,100,209,0,400,5000,0.00185,0.00557
13.97001,100,209,0,400,5000,0.00185,0.00557
13.97628,100,209,0,400,5000,0.00195,0.00557
13.98213,100,209,0,400,5000,0.00195,0.00557
13.9922,100,209,0,400,5000,0.00202,0.00557
14.00543,100,210,30,400,5000,0.00222,0.00557
14.00869,100,211,30,400,5000,0.00222,0.00557
14.01299,100,212,30,400,5000,0.0023,0.00557
14.01862,100,213,30,400,5000,0.00241,0.00557
14.02531,100,214,30,400,5000,0.00241,0.00557
14.0299,100,215,30,400,5000,0.00253,0.00557
14.04084,100,216,30,400,5000,0.00267,0.00557
14.05464,100,217,30,400,5000,0.0028,0.00557
14.05923,100,218,30,400,5000,0.00287,0.00557
14.06526,100,219,30,400,5000,0.00292,0.00557
14.07143,100,220,30,400,5000,0.00292,0.00564
14.07568,100,221,30,400,5000,0.00302,0.00567
14.08686,100,222,30,400,5000,0.00302,0.00582
14.10034,100,223,30,400,5000,0.00341,0.0059
14.10515,100,224,30,400,5000,0.00353,0.0059
14.11147,100,225,30,400,5000,0.00356,0.00603
14.11726,100,226,30,400,5000,0.00356,0.00613
14.12738,100,227,30,400,5000,0.00373,0.00618
14.14066,100,228,30,400,5000,0.00386,0.00633
14.144,100,229,30,400,5000,0.00389,0.00633
14.14839,100,230,30,400,5000,0.004,0.00654
14.15415,100,231,30,400,5000,0.00402,0.00654
14.16067,100,232,30,400,5000,0.00402,0.00666
14.16515,100,233,30,400,5000,0.0041,0.00674
14.17617,100,234,30,400,5000,0.0041,0.00686
14.18987,100,235,30,400,5000,0.00428,0.00687
14.19453,100,236,30,400,5000,0.0043,0.00699
14.20066,100,237,30,400,5000,0.00433,0.00699
14.2067,100,238,30,400,5000,0.00433,0.00708
14.21664,100,239,30,400,5000,0.00436,0.0072
14.22969,100,240,30,400,5000,0.00452,0.00731
14.23273,100,241,30,400,5000,0.00455,0.00731
14.23672,100,242,30,400,5000,0.00455,0.00731
14.24196,100,243,30,400,5000,0.00456,0.00751
14.24885,100,244,30,400,5000,0.00456,0.00751
14.2539,100,245,30,400,5000,0.00456,0.00761
14.26452,100,246,30,400,5000,0.00457,0.00771
14.27847,100,247,30,400,5000,0.00466,0.00786
14.2827,100,248,30,400,5000,0.00466,0.00786
14.28825,100,249,30,400,5000,0.0047,0.00786
14.29505,100,250,30,400,5000,0.00471,0.00797
14.29972,100,251,30,400,5000,0.00471,0.00798
14.3106,100,252,30,400,5000,0.00478,0.00803
14.32448,100,253,30,400,5000,0.00497,0.00804
14.32902,100,254,30,400,5000,0.00498,0.00812
14.33499,100,255,30,400,5000,0.005,0.00812
14.34124,100,256,30,400,5000,0.00501,0.00813
14.34554,100,257,30,400,5000,0.00501,0.00816
14.35668,100,258,30,400,5000,0.00506,0.00823
14.37023,100,259,30,400,5000,0.00521,0.00829
14.375,100,260,30,400,5000,0.00523,0.00829
14.38127,100,261,30,400,5000,0.00525,0.00839
14.38712,100,262,30,400,5000,0.00525,0.00844
14.39719,100,263,30,400,5000,0.00529,0.00844
14.41042,100,264,30,400,5000,0.00538,0.00856
14.41368,100,265,30,400,5000,0.00538,0.00856
14.41797,100,266,30,400,5000,0.00538,0.00865
14.4236,100,267,30,400,5000,0.00538,0.00865
14.43029,100,268,30,400,5000,0.00538,0.00879
14.43489,100,269,30,400,5000,0.00538,0.0088
14.44583,100,270,30,400,5000,0.00538,0.00882
14.45964,100,271,30,400,5000,0.0054,0.00884
14.46423,100,272,30,400,5000,0.00544,0.00884
14.47025,100,273,30,400,5000,0.00547,0.00884
14.47643,100,274,30,400,5000,0.00548,0.00884
14.48067,100,275,30,400,5000,0.00548,0.00884
14.49185,100,276,30,400,5000,0.00548,0.00884
14.50534,100,277,30,400,5000,0.00555,0.00884
14.51015,100,278,30,400,5000,0.00555,0.00884
14.51646,100,279,30,400,5000,0.00555,0.00884
14.52226,100,280,30,400,5000,0.00555,0.00884
14.53237,100,281,30,400,5000,0.00557,0.00889
14.54565,100,282,30,400,5000,0.00557,0.00889
14.54898,100,283,30,400,5000,0.00557,0.00889
14.55337,100,284,30,400,5000,0.00557,0.00889
14.55913,100,285,30,400,5000,0.00557,0.00889
14.56565,100,286,30,400,5000,0.00557,0.00889
14.57014,100,287,30,400,5000,0.00557,0.00889
14.58115,100,288,30,400,5000,0.00557,0.00889
14.59486,100,289,30,400,5000,0.00557,0.00889
14.59952,100,290,30,400,5000,0.00557,0.00889
14.60563,100,291,30,400,5000,0.00557,0.00889
14.61169,100,292,30,400,5000,0.00557,0.00889
14.62162,100,293,30,400,5000,0.00557,0.00889
14.63467,100,294,30,400,5000,0.00557,0.00889
14.6377,100,295,30,400,5000,0.00557,0.00889
14.64167,100,296,30,400,5000,0.00557,0.00889
14.6469,100,297,30,400,5000,0.00557,0.00889
14.65377,100,298,30,400,5000,0.00557,0.00889
14.65884,100,299,30,400,5000,0.00557,0.00889
14.66945,100,300,30,400,5000,0.00557,0.00889
14.68338,100,301,30,400,5000,0.00557,0.00889
14.68757,100,302,30,400,5000,0.00557,0.00889
14.69308,100,303,30,400,5000,0.00557,0.00889
14.69993,100,304,30,400,5000,0.00557,0.00889
14.70464,100,305,30,400,5000,0.00557,0.00889
14.7155,100,306,30,400,5000,0.00557,0.00889
14.72941,100,307,30,400,5000,0.00554,0.00886
14.73393,100,308,30,400,5000,0.00552,0.00884
14.73987,100,309,30,400,5000,0.00549,0.00881
14.74616,100,310,30,400,5000,0.00549,0.00881
14.75049,100,311,30,400,5000,0.00544,0.00876
14.76161,100,312,30,400,5000,0.00543,0.00875
14.77517,100,313,30,400,5000,0.00519,0.00851
14.77993,100,314,30,400,5000,0.00518,0.0085
14.78618,100,315,30,400,5000,0.00507,0.00839
14.79206,100,316,30,400,5000,0.00506,0.00838
14.80211,100,317,30,400,5000,0.00503,0.00835
14.81531,100,318,30,400,5000,0.00498,0.0083
14.81854,100,319,30,400,5000,0.00496,0.00828
14.82279,100,320,30,400,5000,0.00495,0.00827
14.82836,100,321,30,400,5000,0.00492,0.00824
14.83512,100,322,30,400,5000,0.00491,0.00823
14.83978,100,323,30,400,5000,0.00489,0.00821
14.85067,100,324,30,400,5000,0.00477,0.00809
14.86453,100,325,30,400,5000,0.00466,0.00798
14.86909,100,326,30,400,5000,0.00462,0.00794
14.87507,100,327,30,400,5000,0.00459,0.00791
14.8813,100,328,30,400,5000,0.00455,0.00787
14.88558,100,329,30,400,5000,0.00448,0.0078
14.89674,100,330,30,400,5000,0.00439,0.00771
14.91026,100,331,30,400,5000,0.0042,0.00752
14.91505,100,332,30,400,5000,0.00416,0.00748
14.92133,100,333,30,400,5000,0.0041,0.00742
14.92717,100,334,30,400,5000,0.00402,0.00734
14.93725,100,335,30,400,5000,0.00394,0.00726
14.95049,100,336,30,400,5000,0.00385,0.00717
14.95378,100,337,30,400,5000,0.00382,0.00714
14.9581,100,338,30,400,5000,0.00377,0.00709
14.96377,100,339,30,400,5000,0.00372,0.00704
14.97041,100,340,30,400,5000,0.00366,0.00698
14.97497,100,341,30,400,5000,0.00362,0.00694
14.98593,100,342,30,400,5000,0.00355,0.00687
14.99971,100,343,30,400,5000,0.00341,0.00673
15.00432,100,344,30,400,5000,0.00335,0.00667
15.01038,100,345,30,400,5000,0.00327,0.00659
15.01651,100,346,30,400,5000,0.00316,0.00648
15.02639,100,347,30,400,5000,0.00304,0.00636
15.03936,100,348,30,400,5000,0.00291,0.00623
15.0423,100,349,30,400,5000,0.00287,0.00619
15.04615,100,350,30,400,5000,0.00283,0.00615
15.05121,100,351,30,400,5000,0.00277,0.00609
15.05786,100,352,30,400,5000,0.00271,0.00603
15.06322,100,353,30,400,5000,0.00265,0.00597
15.07363,100,354,30,400,5000,0.00255,0.00587
15.08731,100,355,30,400,5000,0.00224,0.00556
15.09117,100,356,30,400,5000,0.00221,0.00553
15.09624,100,357,30,400,5000,0.00216,0.00548
15.10289,100,358,30,400,5000,0.00204,0.00536
15.10824,100,359,30,400,5000,0.00201,0.00533
15.11866,100,360,30,400,5000,0.00184,0.00539
15.13235,100,361,30,400,5000,0.00174,0.00553
15.13622,100,362,30,400,5000,0.00172,0.00569
15.1413,100,363,30,400,5000,0.00172,0.00569
15.14798,100,364,30,400,5000,0.00172,0.00569
15.1533,100,365,30,400,5000,0.00172,0.00584
15.16374,100,366,30,400,5000,0.00172,0.00593
15.17745,100,367,30,400,5000,0.00172,0.00596
15.18135,100,368,30,400,5000,0.00172,0.00596
15.18647,100,369,30,400,5000,0.00172,0.00596
15.1932,100,370,30,400,5000,0.00172,0.00613
15.19845,100,371,30,400,5000,0.00172,0.00617
15.20894,100,372,30,400,5000,0.00172,0.00629
15.22271,100,373,30,400,5000,0.00172,0.00635
15.2267,100,374,30,400,5000,0.00172,0.00636
15.23193,100,375,30,400,5000,0.00172,0.00636
15.2388,100,376,30,400,5000,0.00172,0.00652
15.24387,100,377,30,400,5000,0.00172,0.00656
15.25448,100,378,30,400,5000,0.00172,0.00662
15.26842,100,379,30,400,5000,0.00172,0.00674
15.27263,100,380,30,400,5000,0.00172,0.00684
15.27816,100,381,30,400,5000,0.00172,0.00684
15.28499,100,382,30,400,5000,0.00172,0.00698
15.28968,100,383,30,400,5000,0.00172,0.007
15.30055,100,384,30,400,5000,0.00172,0.00706
15.31445,100,385,30,400,5000,0.00172,0.00711
15.31898,100,386,30,400,5000,0.00172,0.00712
15.32492,100,387,30,400,5000,0.00172,0.00712
15.3312,100,388,30,400,5000,0.00172,0.00721
15.33552,100,389,30,400,5000,0.00172,0.00724
15.34665,100,390,30,400,5000,0.00172,0.00728
15.3602,100,391,30,400,5000,0.00172,0.00738
15.36497,100,392,30,400,5000,0.00172,0.00738
15.37122,100,393,30,400,5000,0.00172,0.00741
15.37709,100,394,30,400,5000,0.00172,0.00743
15.38715,100,395,30,400,5000,0.00172,0.00746
15.40037,100,396,30,400,5000,0.00172,0.00753
15.40362,100,397,30,400,5000,0.00172,0.00753
15.40788,100,398,30,400,5000,0.00172,0.00759
15.41349,100,399,30,400,5000,0.00172,0.00759
15.42021,100,400,30,400,5000,0.00172,0.00759
15.42484,100,401,30,400,5000,0.00172,0.00761
15.43576,100,402,30,400,5000,0.00172,0.00761
15.44959,100,403,30,400,5000,0.00172,0.00761
15.45416,100,404,30,400,5000,0.00172,0.00761
15.46017,100,405,30,400,5000,0.00172,0.00761
15.46637,100,406,30,400,5000,0.00172,0.00763
15.47063,100,407,30,400,5000,0.00172,0.00763
15.4818,100,408,30,400,5000,0.00172,0.00763
15.4953,100,409,30,400,5000,0.00172,0.00763
15.5001,100,410,30,400,5000,0.00172,0.00763
15.5064,100,411,30,400,5000,0.00172,0.00763
15.51221,100,412,30,400,5000,0.00172,0.00763
15.52231,100,413,30,400,5000,0.00172,0.00763
15.53558,100,414,30,400,5000,0.00167,0.00763
15.53889,100,415,30,400,5000,0.00166,0.00763
15.54325,100,416,30,400,5000,0.00166,0.00763
15.54896,100,417,30,400,5000,0.00166,0.00763
15.55554,100,418,30,400,5000,0.00166,0.00763
15.56006,100,419,30,400,5000,0.00166,0.00763
15.57105,100,420,30,400,5000,0.00166,0.00763
15.58479,100,421,30,400,5000,0.00166,0.00763
15.58943,100,422,30,400,5000,0.00166,0.00763
15.59551,100,423,30,400,5000,0.00166,0.00763
15.60161,100,424,30,400,5000,0.00166,0.00763
15.61151,100,425,30,400,5000,0.00166,0.00763
15.62452,100,426,30,400,5000,0.00166,0.00763
15.62751,100,427,30,400,5000,0.00166,0.00763
15.63143,100,428,30,400,5000,0.00166,0.00763
15.63658,100,429,30,400,5000,0.00166,0.00763
15.64334,100,430,30,400,5000,0.00166,0.00763
15.64855,100,431,30,400,5000,0.00166,0.00763
15.65907,100,432,30,400,5000,0.00167,0.00763
15.67288,100,433,30,400,5000,0.00175,0.00763
15.67692,100,434,30,400,5000,0.00177,0.00763
15.68222,100,435,30,400,5000,0.00177,0.00763
15.68918,100,436,30,400,5000,0.00177,0.00763
15.69413,100,437,30,400,5000,0.00177,0.00763
15.70482,100,438,30,400,5000,0.00178,0.00763
15.71887,100,439,30,400,5000,0.00181,0.00763
15.72322,100,440,30,400,5000,0.00182,0.00763
15.72893,100,441,30,400,5000,0.00183,0.00763
15.73551,100,442,30,400,5000,0.00183,0.00763
15.74004,100,443,30,389,5000,0.00183,0.00763
15.75103,100,444,30,390,5000,0.00183,0.00763
15.76477,100,445,30,391,5000,0.00183,0.00763
15.76941,100,446,30,392,5000,0.00183,0.00763
15.77549,100,447,30,393,5000,0.00183,0.00763
15.78159,100,448,30,394,5000,0.00183,0.00763
15.79149,100,449,30,395,5000,0.00183,0.00763
15.80449,100,450,30,396,5000,0.00183,0.00763
15.80747,100,451,30,400,5000,0.00183,0.00763
15.81138,100,452,30,400,5000,0.00183,0.00763
15.81651,100,453,30,400,5000,0.00183,0.00763
15.82325,100,454,30,400,5000,0.00183,0.00763
15.82849,100,455,30,400,5000,0.00183,0.00763
15.83898,100,456,30,400,5000,0.00183,0.00763
15.85277,100,457,30,403,5000,0.00183,0.00763
15.85677,100,458,30,400,5000,0.00183,0.00763
15.86203,100,459,30,400,5000,0.00183,0.00763
15.86893,100,460,30,400,5000,0.00183,0.00763
15.87395,100,461,30,400,5000,0.00183,0.00763
15.8846,100,462,30,400,5000,0.00183,0.00763
15.89858,100,463,30,400,5000,0.00183,0.00763
15.90283,100,464,30,400,5000,0.00183,0.00763
15.90842,100,465,30,405,5000,0.00183,0.00763
15.91517,100,466,30,406,5000,0.00183,0.00763
15.9198,100,467,30,407,5000,0.00183,0.00763
15.93071,100,468,30,408,5000,0.00183,0.00763
15.94456,100,469,30,409,5000,0.00183,0.00763
15.94912,100,470,30,410,5000,0.00183,0.00763
15.95512,100,471,30,405,5000,0.00183,0.00763
15.96133,100,472,30,406,5000,0.00183,0.00763
15.96561,100,473,30,407,5000,0.00183,0.00763
15.97677,100,474,30,408,5000,0.00183,0.00763
15.99028,100,475,30,400,5000,0.00183,0.00763
15.99507,100,476,30,400,5000,0.00183,0.00763
16.00137,100,477,30,400,5000,0.00183,0.00763
16.00719,100,478,30,400,5000,0.00183,0.00763
16.01728,100,479,30,400,5000,0.00183,0.00763
16.03053,100,480,30,400,5000,0.00183,0.00763
16.03383,100,481,30,405,5000,0.00183,0.00763
16.03817,100,482,30,406,5000,0.00183,0.00763
16.04387,100,483,30,397,5000,0.00183,0.00763
16.05047,100,484,30,408,5000,0.00183,0.00763
16.05502,100,485,30,400,5000,0.00183,0.00763
16.06599,100,486,30,400,5000,0.00184,0.00763
16.07975,100,487,30,400,5000,0.002,0.00763
16.08437,100,488,30,400,5000,0.00209,0.00763
16.09045,100,489,30,400,5000,0.00214,0.00763
16.09656,100,490,30,399,5000,0.00214,0.00763
16.10645,100,491,30,400,5000,0.00222,0.00763
16.11944,100,492,30,401,5000,0.00245,0.00763
16.1224,100,493,30,402,5000,0.0025,0.00763
16.12629,100,494,30,403,5000,0.0025,0.00763
16.1314,100,495,30,400,5000,0.00263,0.00763
16.13811,100,496,30,400,5000,0.00265,0.00763
16.14339,100,497,30,400,5000,0.00265,0.00763
16.15385,100,498,30,400,5000,0.00286,0.00763
16.1676,100,499,30,400,5000,0.00306,0.00763
16.17155,100,500,30,400,5000,0.00311,0.00763
16.17673,100,501,30,395,5000,0.00318,0.00763
16.18354,100,502,30,385,5000,0.00319,0.00763
16.18869,100,503,30,386,5000,0.00319,0.00763
16.19925,100,504,30,387,5000,0.00331,0.00763
16.21312,100,505,30,388,5000,0.00343,0.00763
16.21723,100,506,30,400,5000,0.00352,0.00763
16.22263,100,507,30,400,5000,0.00356,0.00763
16.22962,100,508,30,400,5000,0.00363,0.00763
16.23443,100,509,30,400,5000,0.00363,0.00763
16.24522,100,510,30,400,5000,0.00383,0.00763
16.25922,100,511,30,400,5000,0.00397,0.00763
16.26368,100,512,30,400,5000,0.00403,0.00763
16.26953,100,513,30,400,5000,0.00408,0.00763
16.27593,100,514,30,400,5000,0.00408,0.00763
16.28033,100,515,30,404,5000,0.00418,0.00763
16.2914,100,516,30,400,5000,0.00426,0.00763
16.30503,100,517,30,400,5000,0.00434,0.00763
16.30975,100,518,30,400,5000,0.00434,0.00763
16.31594,100,519,30,400,5000,0.00436,0.00763
16.3219,100,520,30,400,5000,0.00436,0.00763
16.33189,100,521,30,400,5000,0.00444,0.00763
16.34502,100,522,30,400,5000,0.00449,0.00763
16.34817,100,523,30,400,5000,0.00449,0.00763
16.35229,100,524,30,400,5000,0.00453,0.00763
16.35771,100,525,30,400,5000,0.00455,0.00763
16.36468,100,526,30,400,5000,0.00455,0.00763
16.36947,100,527,30,401,5000,0.00462,0.00763
16.38027,100,528,30,400,5000,0.00471,0.00763
16.39426,100,529,30,400,5000,0.00476,0.00763
16.39873,100,530,30,400,5000,0.00482,0.00763
16.4046,100,531,30,400,5000,0.00488,0.00763
16.41097,100,532,30,400,5000,0.00488,0.00763
16.41536,100,533,30,404,5000,0.00497,0.00763
16.42644,100,534,30,400,5000,0.00497,0.00763
16.44006,100,535,30,400,5000,0.00514,0.00763
16.44478,100,536,30,401,5000,0.00514,0.00763
16.45098,100,537,30,400,5000,0.00516,0.00763
16.45693,100,538,30,400,5000,0.00516,0.00763
16.46693,100,539,30,400,5000,0.00516,0.00763
16.48008,100,540,30,399,5000,0.00516,0.00763
16.48324,100,541,30,400,5000,0.00516,0.00763
16.48739,100,542,30,400,5000,0.00516,0.00763
16.49284,100,543,30,385,5000,0.00516,0.00763
16.49977,100,544,30,400,5000,0.00516,0.00763
16.50453,100,545,30,400,5000,0.00516,0.00763
16.51535,100,546,30,375,5000,0.00516,0.00763
16.52931,100,547,30,376,5000,0.00516,0.00763
16.5338,100,548,30,377,5000,0.00521,0.00763
16.53969,100,549,30,400,5000,0.00521,0.00763
16.54604,100,550,30,400,5000,0.00521,0.00763
16.5504,100,551,30,396,5000,0.00521,0.00763
16.5615,100,552,30,397,5000,0.00521,0.00763
16.5751,100,553,30,398,5000,0.00521,0.00763
16.57983,100,554,30,400,5000,0.00521,0.00763
16.58605,100,555,30,400,5000,0.00521,0.00763
16.59197,100,556,30,400,5000,0.00521,0.00763
16.602,100,557,30,400,5000,0.00521,0.00763
16.61516,100,558,30,400,5000,0.00521,0.00763
16.61834,100,559,30,400,5000,0.00521,0.00763
16.62253,100,560,30,400,5000,0.00521,0.00763
16.62802,100,561,30,400,5000,0.00521,0.00763
16.63489,100,562,30,405,5000,0.00521,0.00763
16.63961,100,563,30,406,5000,0.00521,0.00763
16.65047,100,564,30,407,5000,0.00521,0.00763
16.66439,100,565,30,408,5000,0.00521,0.00763
16.6689,100,566,30,409,5000,0.00521,0.00763
16.67482,100,567,30,400,5000,0.00521,0.00763
16.68113,100,568,30,400,5000,0.00521,0.00763
16.68547,100,569,30,400,5000,0.00521,0.00763
16.69658,100,570,30,400,5000,0.00521,0.00763
16.71016,100,571,30,400,5000,0.00521,0.00763
16.71491,100,572,30,400,5000,0.00521,0.00763
16.72115,100,573,30,400,5000,0.00521,0.00763
16.72704,100,574,30,400,5000,0.00521,0.00763
16.73708,100,575,30,399,5000,0.0051,0.00763
16.75027,100,576,30,401,5000,0.0051,0.00763
16.75349,100,577,30,400,5000,0.0051,0.00763
16.75772,100,578,30,400,5000,0.0051,0.00763
16.76328,100,579,30,400,5000,0.0051,0.00763
16.77007,100,580,30,400,5000,0.0051,0.00763
16.77474,100,581,30,405,5000,0.00508,0.00763
16.78562,100,582,30,406,5000,0.00504,0.00763
16.7995,100,583,30,397,5000,0.00504,0.00763
16.80404,100,584,30,408,5000,0.00502,0.00763
16.81001,100,585,30,400,5000,0.00502,0.00763
16.81626,100,586,30,400,5000,0.00501,0.00763
16.82055,100,587,30,400,5000,0.00501,0.00763
16.8317,100,588,30,400,5000,0.00499,0.00763
16.84524,100,589,30,400,5000,0.0049,0.00763
16.85001,100,590,30,399,5000,0.00487,0.00763
16.85628,100,591,30,400,5000,0.00481,0.00763
16.86213,100,592,30,401,5000,0.00475,0.00763
16.87221,100,593,30,402,5000,0.00466,0.00763
16.88544,100,594,30,403,5000,0.00456,0.00763
16.88871,100,595,30,400,5000,0.00453,0.00763
16.893,100,596,30,400,5000,0.00451,0.00763
16.89865,100,597,30,400,5000,0.00449,0.00763
16.90532,100,598,30,400,5000,0.00447,0.00763
16.90991,100,599,30,400,5000,0.00446,0.00763
16.92085,100,600,30,400,5000,0.0044,0.00763
16.93465,100,601,30,395,5000,0.00434,0.00763
16.93925,100,602,30,385,5000,0.00431,0.00763
16.94528,100,603,30,386,5000,0.00427,0.00763
16.95145,100,604,30,387,5000,0.00424,0.00763
16.95568,100,605,30,388,5000,0.00422,0.00763
16.96687,100,606,30,400,5000,0.00412,0.00763
16.98035,100,607,30,400,5000,0.00417,0.00763
16.98517,100,608,30,400,5000,0.00417,0.00763
16.99149,100,609,30,400,5000,0.00431,0.00763
16.99727,100,610,30,400,5000,0.00431,0.00763
17.00739,100,611,30,400,5000,0.00443,0.00763
17.02068,100,612,30,400,5000,0.00459,0.00763
17.02403,100,613,30,400,5000,0.00459,0.00763
17.02842,100,614,30,400,5000,0.00465,0.00763
17.0342,100,615,30,404,5000,0.00473,0.00763
17.0407,100,616,30,400,5000,0.00475,0.00763
17.04517,100,617,30,400,5000,0.00475,0.00763
17.0562,100,618,30,400,5000,0.00488,0.00763
17.06989,100,619,30,400,5000,0.00495,0.00763
17.07456,100,620,30,400,5000,0.00501,0.00763
17.08069,100,621,30,400,5000,0.00507,0.00763
17.08673,100,622,30,400,5000,0.00507,0.00763
17.09667,100,623,30,400,5000,0.00507,0.00763
17.10973,100,624,30,400,5000,0.00533,0.00763
17.11278,100,625,30,400,5000,0.00533,0.00763
17.11679,100,626,30,400,5000,0.00539,0.00763
17.12205,100,627,30,401,5000,0.00547,0.00763
17.12896,100,628,30,400,5000,0.00553,0.00763
17.13397,100,629,30,400,5000,0.00553,0.00763
17.14462,100,630,30,400,5000,0.00569,0.00763
17.15861,100,631,30,400,5000,0.00589,0.00763
17.16287,100,632,30,400,5000,0.00593,0.00763
17.16848,100,633,30,404,5000,0.00596,0.00763
17.17521,100,634,30,400,5000,0.00596,0.00763
17.17983,100,635,30,400,5000,0.00596,0.00763
